user_id,event_name,timestamp,phone_os,hearing_aid_model
U0241,bluetooth_search,2025-01-01 06:03:24,Android,A-Series
U0058,battery_alert,2025-01-01 06:24:51,iOS,A-Series
U0055,pairing_failed,2025-01-01 06:25:07,Android,B-Series
U0270,account_setup,2025-01-01 06:29:09,iOS,B-Series
U0248,program_change,2025-01-01 06:34:35,iOS,A-Series
U0061,bluetooth_search,2025-01-01 06:37:54,iOS,A-Series
U0137,app_open,2025-01-01 06:38:21,iOS,A-Series
U0049,app_open,2025-01-01 06:39:58,iOS,B-Series
U0247,account_setup,2025-01-01 06:42:05,iOS,B-Series
U0016,app_open,2025-01-01 06:49:42,Android,A-Series
U0107,volume_adjust,2025-01-01 07:01:01,Android,A-Series
U0001,program_change,2025-01-01 07:04:40,iOS,A-Series
U0136,bluetooth_search,2025-01-01 07:05:08,iOS,B-Series
U0295,program_change,2025-01-01 07:07:03,Android,A-Series
U0252,volume_adjust,2025-01-01 07:18:00,Android,B-Series
U0230,battery_alert,2025-01-01 07:18:38,Android,A-Series
U0231,battery_alert,2025-01-01 07:21:03,iOS,A-Series
U0034,app_open,2025-01-01 07:21:54,iOS,B-Series
U0204,program_change,2025-01-01 07:31:27,iOS,A-Series
U0049,device_paired,2025-01-01 07:35:03,iOS,B-Series
U0239,device_paired,2025-01-01 07:42:04,Android,B-Series
U0056,program_change,2025-01-01 07:44:07,iOS,B-Series
U0244,bluetooth_search,2025-01-01 07:51:54,Android,B-Series
U0189,volume_adjust,2025-01-01 07:53:47,Android,B-Series
U0293,pairing_failed,2025-01-01 07:59:24,Android,B-Series
U0221,battery_alert,2025-01-01 08:06:36,Android,B-Series
U0248,volume_adjust,2025-01-01 08:21:14,iOS,A-Series
U0188,device_paired,2025-01-01 08:23:12,iOS,B-Series
U0049,app_open,2025-01-01 08:27:39,iOS,B-Series
U0032,bluetooth_search,2025-01-01 08:28:29,iOS,B-Series
U0167,device_paired,2025-01-01 08:30:07,Android,A-Series
U0066,account_setup,2025-01-01 09:03:55,iOS,A-Series
U0126,battery_alert,2025-01-01 09:08:59,iOS,B-Series
U0299,pairing_failed,2025-01-01 09:14:29,Android,B-Series
U0244,pairing_failed,2025-01-01 09:42:59,Android,B-Series
U0096,app_open,2025-01-01 09:45:25,Android,A-Series
U0206,app_open,2025-01-01 09:48:37,iOS,A-Series
U0292,volume_adjust,2025-01-01 09:56:17,Android,A-Series
U0057,program_change,2025-01-01 10:00:22,iOS,B-Series
U0255,battery_alert,2025-01-01 10:01:20,Android,B-Series
U0223,battery_alert,2025-01-01 10:20:47,Android,A-Series
U0120,app_open,2025-01-01 10:21:25,iOS,A-Series
U0135,volume_adjust,2025-01-01 10:24:41,Android,B-Series
U0284,volume_adjust,2025-01-01 10:24:46,Android,B-Series
U0266,program_change,2025-01-01 10:26:54,Android,B-Series
U0235,app_open,2025-01-01 10:28:04,iOS,B-Series
U0128,app_open,2025-01-01 10:33:09,iOS,A-Series
U0111,app_open,2025-01-01 10:34:25,iOS,A-Series
U0103,app_open,2025-01-01 10:38:56,iOS,B-Series
U0102,battery_alert,2025-01-01 10:40:02,iOS,A-Series
U0086,app_open,2025-01-01 10:46:15,iOS,B-Series
U0187,account_setup,2025-01-01 10:47:24,Android,B-Series
U0255,app_open,2025-01-01 10:49:55,Android,B-Series
U0242,volume_adjust,2025-01-01 10:51:54,Android,B-Series
U0281,program_change,2025-01-01 10:55:27,Android,A-Series
U0220,battery_alert,2025-01-01 10:59:54,iOS,B-Series
U0018,volume_adjust,2025-01-01 11:04:08,Android,A-Series
U0023,volume_adjust,2025-01-01 11:14:11,iOS,A-Series
U0122,pairing_failed,2025-01-01 11:16:03,Android,B-Series
U0208,volume_adjust,2025-01-01 11:20:08,Android,B-Series
U0030,bluetooth_search,2025-01-01 11:20:55,Android,A-Series
U0140,app_open,2025-01-01 11:36:13,Android,B-Series
U0222,bluetooth_search,2025-01-01 11:45:00,iOS,B-Series
U0155,pairing_failed,2025-01-01 11:47:16,Android,B-Series
U0295,bluetooth_search,2025-01-01 11:54:29,Android,A-Series
U0227,app_open,2025-01-01 11:57:10,Android,B-Series
U0293,device_paired,2025-01-01 12:04:46,Android,B-Series
U0081,account_setup,2025-01-01 12:10:40,iOS,A-Series
U0185,app_open,2025-01-01 12:12:18,iOS,B-Series
U0100,volume_adjust,2025-01-01 12:12:18,Android,A-Series
U0142,app_open,2025-01-01 12:19:58,iOS,B-Series
U0092,battery_alert,2025-01-01 12:28:23,iOS,A-Series
U0262,app_open,2025-01-01 12:28:49,iOS,A-Series
U0222,program_change,2025-01-01 12:36:11,iOS,B-Series
U0098,app_open,2025-01-01 12:54:01,Android,B-Series
U0054,volume_adjust,2025-01-01 12:55:42,Android,A-Series
U0086,device_paired,2025-01-01 12:55:53,iOS,B-Series
U0063,volume_adjust,2025-01-01 13:04:49,iOS,A-Series
U0155,bluetooth_search,2025-01-01 13:12:07,Android,B-Series
U0243,app_open,2025-01-01 13:13:05,Android,A-Series
U0164,program_change,2025-01-01 14:03:51,iOS,B-Series
U0067,app_open,2025-01-01 14:04:56,iOS,B-Series
U0001,volume_adjust,2025-01-01 14:10:27,iOS,A-Series
U0120,volume_adjust,2025-01-01 14:35:37,iOS,A-Series
U0273,app_open,2025-01-01 14:50:13,iOS,A-Series
U0122,app_open,2025-01-01 14:51:43,Android,B-Series
U0161,volume_adjust,2025-01-01 14:57:33,iOS,B-Series
U0100,app_open,2025-01-01 15:14:36,Android,A-Series
U0218,pairing_failed,2025-01-01 15:17:29,Android,B-Series
U0279,volume_adjust,2025-01-01 15:18:52,Android,A-Series
U0154,bluetooth_search,2025-01-01 15:20:11,iOS,A-Series
U0252,app_open,2025-01-01 15:30:30,Android,B-Series
U0162,volume_adjust,2025-01-01 15:38:44,iOS,A-Series
U0291,bluetooth_search,2025-01-01 15:41:38,Android,A-Series
U0260,app_open,2025-01-01 15:46:19,iOS,A-Series
U0133,program_change,2025-01-01 16:06:12,iOS,B-Series
U0238,battery_alert,2025-01-01 16:12:08,iOS,B-Series
U0202,app_open,2025-01-01 16:16:55,Android,A-Series
U0163,app_open,2025-01-01 16:21:30,Android,B-Series
U0293,program_change,2025-01-01 16:39:15,Android,B-Series
U0091,bluetooth_search,2025-01-01 16:48:29,Android,A-Series
U0061,volume_adjust,2025-01-01 16:51:27,iOS,A-Series
U0096,app_open,2025-01-01 16:54:10,Android,A-Series
U0213,volume_adjust,2025-01-01 16:55:29,Android,A-Series
U0039,app_open,2025-01-01 16:55:58,Android,A-Series
U0231,volume_adjust,2025-01-01 17:08:36,iOS,A-Series
U0074,bluetooth_search,2025-01-01 17:15:36,Android,B-Series
U0184,volume_adjust,2025-01-01 17:36:36,Android,A-Series
U0108,pairing_failed,2025-01-01 17:40:38,Android,B-Series
U0002,pairing_failed,2025-01-01 17:41:21,Android,A-Series
U0214,app_open,2025-01-01 17:45:21,iOS,B-Series
U0101,volume_adjust,2025-01-01 17:46:54,iOS,A-Series
U0076,volume_adjust,2025-01-01 17:48:00,iOS,A-Series
U0207,volume_adjust,2025-01-01 17:52:52,Android,A-Series
U0168,bluetooth_search,2025-01-01 17:54:04,iOS,B-Series
U0133,volume_adjust,2025-01-01 17:54:06,iOS,B-Series
U0245,app_open,2025-01-01 17:59:28,Android,A-Series
U0054,program_change,2025-01-01 18:00:36,Android,A-Series
U0206,pairing_failed,2025-01-01 18:01:00,iOS,A-Series
U0250,app_open,2025-01-01 18:02:44,Android,A-Series
U0225,volume_adjust,2025-01-01 18:22:46,iOS,B-Series
U0228,app_open,2025-01-01 18:25:11,iOS,A-Series
U0095,app_open,2025-01-01 18:30:09,iOS,A-Series
U0091,app_open,2025-01-01 18:45:39,Android,A-Series
U0114,app_open,2025-01-01 18:50:18,Android,A-Series
U0005,battery_alert,2025-01-01 18:54:47,Android,A-Series
U0213,program_change,2025-01-01 19:02:00,Android,A-Series
U0039,bluetooth_search,2025-01-01 19:04:35,Android,A-Series
U0184,pairing_failed,2025-01-01 19:05:56,Android,A-Series
U0054,app_open,2025-01-01 19:06:31,Android,A-Series
U0081,bluetooth_search,2025-01-01 19:12:44,iOS,A-Series
